record_id,work_order_id,record_date,workstation_id,material_id,consume_qty
1,WO0001,2025-01-01,W02,M006,32
2,WO0001,2025-01-01,W02,M005,50
3,WO0002,2025-01-01,W02,M005,41
4,WO0002,2025-01-01,W02,M008,20
5,WO0002,2025-01-01,W02,M004,29
6,WO0003,2025-01-01,W02,M003,43
7,WO0003,2025-01-01,W02,M004,27
8,WO0004,2025-01-01,W05,M003,37
9,WO0004,2025-01-01,W05,M004,39
10,WO0005,2025-01-01,W03,M007,28
11,WO0005,2025-01-01,W03,M006,25
12,WO0005,2025-01-01,W03,M003,20
13,WO0006,2025-01-02,W04,M007,12
14,WO0006,2025-01-02,W04,M002,14
15,WO0006,2025-01-02,W04,M001,35
16,WO0007,2025-01-02,W03,M003,16
17,WO0007,2025-01-02,W03,M005,37
18,WO0008,2025-01-02,W05,M006,35
19,WO0008,2025-01-02,W05,M001,25
20,WO0008,2025-01-02,W05,M005,24
21,WO0008,2025-01-02,W05,M004,52
22,WO0009,2025-01-02,W02,M006,37
23,WO0009,2025-01-02,W02,M004,23
24,WO0010,2025-01-03,W04,M006,35
25,WO0010,2025-01-03,W04,M003,29
26,WO0011,2025-01-03,W04,M007,27
27,WO0011,2025-01-03,W04,M003,13
28,WO0012,2025-01-03,W04,M007,52
29,WO0012,2025-01-03,W04,M004,31
30,WO0013,2025-01-03,W02,M002,14
31,WO0013,2025-01-03,W02,M006,23
32,WO0014,2025-01-03,W04,M006,22
33,WO0014,2025-01-03,W04,M004,18
34,WO0015,2025-01-03,W04,M007,18
35,WO0015,2025-01-03,W04,M005,42
36,WO0015,2025-01-03,W04,M004,14
37,WO0016,2025-01-03,W04,M005,45
38,WO0016,2025-01-03,W04,M008,20
39,WO0017,2025-01-04,W03,M007,4
40,WO0017,2025-01-04,W03,M002,12
41,WO0017,2025-01-04,W03,M006,4
42,WO0018,2025-01-05,W04,M006,9
43,WO0018,2025-01-05,W04,M003,18
44,WO0019,2025-01-06,W05,M002,42
45,WO0019,2025-01-06,W05,M006,28
46,WO0020,2025-01-06,W01,M002,24
47,WO0021,2025-01-06,W03,M007,14
48,WO0021,2025-01-06,W03,M005,52
49,WO0022,2025-01-06,W01,M006,20
50,WO0022,2025-01-06,W01,M003,21
51,WO0023,2025-01-06,W02,M002,29
52,WO0023,2025-01-06,W02,M004,30
53,WO0024,2025-01-06,W03,M004,26
54,WO0025,2025-01-06,W05,M007,16
55,WO0025,2025-01-06,W05,M002,9
56,WO0025,2025-01-06,W05,M008,39
57,WO0026,2025-01-07,W01,M002,33
58,WO0026,2025-01-07,W01,M005,40
59,WO0026,2025-01-07,W01,M004,41
60,WO0027,2025-01-07,W05,M001,11
61,WO0027,2025-01-07,W05,M008,41
62,WO0028,2025-01-07,W04,M003,53
63,WO0028,2025-01-07,W04,M001,44
64,WO0028,2025-01-07,W04,M008,35
65,WO0029,2025-01-07,W05,M007,51
66,WO0029,2025-01-07,W05,M005,25
67,WO0029,2025-01-07,W05,M004,12
68,WO0030,2025-01-08,W02,M002,15
