work_order_id,material_items
WO0001,"['M006', 'M005']"
WO0002,"['M005', 'M008', 'M004']"
WO0003,"['M003', 'M004']"
WO0004,"['M003', 'M004']"
WO0005,"['M007', 'M006', 'M003']"
WO0006,"['M007', 'M002', 'M001']"
WO0007,"['M003', 'M005']"
WO0008,"['M006', 'M001', 'M005', 'M004']"
WO0009,"['M006', 'M004']"
WO0010,"['M006', 'M003']"
WO0011,"['M007', 'M003']"
WO0012,"['M007', 'M004']"
WO0013,"['M002', 'M006']"
WO0014,"['M006', 'M004']"
WO0015,"['M007', 'M005', 'M004']"
WO0016,"['M005', 'M008']"
WO0017,"['M007', 'M002', 'M006']"
WO0018,"['M006', 'M003']"
WO0019,"['M002', 'M006']"
WO0020,['M002']
WO0021,"['M007', 'M005']"
WO0022,"['M006', 'M003']"
WO0023,"['M002', 'M004']"
WO0024,['M004']
WO0025,"['M007', 'M002', 'M008']"
WO0026,"['M002', 'M005', 'M004']"
WO0027,"['M001', 'M008']"
WO0028,"['M003', 'M001', 'M008']"
WO0029,"['M007', 'M005', 'M004']"
WO0030,['M002']
WO0031,"['M007', 'M001', 'M008']"
WO0032,"['M005', 'M008']"
WO0033,"['M002', 'M008', 'M004']"
WO0034,"['M007', 'M002', 'M003']"
WO0035,"['M007', 'M006', 'M005']"
WO0036,"['M002', 'M001', 'M008']"
WO0037,"['M002', 'M001', 'M004']"
WO0038,"['M002', 'M006']"
WO0039,['M007']
WO0040,"['M006', 'M008', 'M004']"
WO0041,"['M008', 'M004']"
WO0042,"['M007', 'M008', 'M004']"
WO0043,"['M007', 'M006']"
WO0044,"['M002', 'M006']"
WO0045,"['M002', 'M008', 'M004']"
WO0046,"['M002', 'M005', 'M004']"
WO0047,"['M007', 'M004']"
WO0048,"['M003', 'M004']"
WO0049,"['M002', 'M006']"
WO0050,"['M005', 'M008']"
WO0051,"['M005', 'M008']"
WO0052,"['M006', 'M003']"
WO0053,"['M006', 'M003', 'M008']"
WO0054,"['M007', 'M006', 'M003']"
WO0055,"['M007', 'M002', 'M001', 'M004']"
WO0056,"['M007', 'M006', 'M008']"
WO0057,"['M007', 'M002', 'M001', 'M004']"
WO0058,"['M007', 'M008']"
WO0059,"['M006', 'M005']"
WO0060,"['M007', 'M006', 'M008']"
WO0061,"['M006', 'M002', 'M003']"
WO0062,"['M007', 'M005', 'M008', 'M004']"
WO0063,"['M007', 'M001']"
WO0064,"['M001', 'M005', 'M004']"
WO0065,"['M007', 'M002', 'M003']"
WO0066,"['M002', 'M003', 'M001']"
WO0067,"['M006', 'M004']"
WO0068,"['M007', 'M002', 'M005']"
WO0069,"['M006', 'M008', 'M004']"
WO0070,"['M003', 'M001', 'M008']"
WO0071,"['M006', 'M005', 'M004']"
WO0072,"['M006', 'M005']"
WO0073,"['M001', 'M005']"
WO0074,"['M007', 'M001']"
WO0075,"['M007', 'M005']"
WO0076,"['M003', 'M001', 'M005']"
WO0077,"['M002', 'M005']"
WO0078,"['M006', 'M005']"
WO0079,"['M006', 'M003']"
WO0080,"['M002', 'M005', 'M008']"
WO0081,['M006']
WO0082,"['M006', 'M003']"
WO0083,"['M007', 'M008']"
WO0084,"['M007', 'M003', 'M005', 'M004']"
WO0085,"['M007', 'M002', 'M005']"
WO0086,"['M007', 'M008']"
WO0087,"['M006', 'M005']"
WO0088,"['M002', 'M008']"
WO0089,"['M007', 'M003']"
WO0090,"['M007', 'M002', 'M001']"
WO0091,"['M007', 'M006']"
WO0092,"['M002', 'M001', 'M005']"
WO0093,"['M007', 'M001', 'M005']"
WO0094,"['M006', 'M005', 'M004']"
WO0095,"['M005', 'M004']"
WO0096,"['M002', 'M005', 'M008']"
WO0097,"['M006', 'M008', 'M004']"
WO0098,['M002']
WO0099,"['M007', 'M002', 'M004']"
WO0100,"['M002', 'M006', 'M001', 'M008']"
WO0101,"['M007', 'M006', 'M001']"
WO0102,['M007']
WO0103,"['M005', 'M004']"
WO0104,"['M006', 'M005', 'M004']"
WO0105,"['M002', 'M005']"
WO0106,"['M001', 'M005', 'M008']"
WO0107,"['M002', 'M008']"
WO0108,['M007']
WO0109,"['M002', 'M008', 'M004']"
WO0110,"['M003', 'M001', 'M005']"
WO0111,"['M006', 'M004']"
WO0112,"['M003', 'M001', 'M005', 'M004']"
WO0113,"['M006', 'M003']"
WO0114,"['M006', 'M001', 'M005', 'M004']"
WO0115,"['M007', 'M003', 'M001']"
WO0116,"['M007', 'M005', 'M008']"
WO0117,"['M007', 'M005']"
WO0118,"['M007', 'M008']"
WO0119,"['M007', 'M005']"
WO0120,"['M002', 'M006', 'M001']"
WO0121,"['M003', 'M005', 'M008']"
WO0122,"['M007', 'M003']"
WO0123,"['M002', 'M006', 'M001', 'M005']"
WO0124,['M002']
WO0125,"['M007', 'M006', 'M004']"
WO0126,"['M002', 'M003']"
WO0127,"['M002', 'M008']"
WO0128,"['M007', 'M001', 'M005']"
WO0129,"['M002', 'M005']"
WO0130,"['M006', 'M002', 'M003']"
WO0131,"['M007', 'M001', 'M005']"
WO0132,"['M007', 'M003', 'M005']"
WO0133,"['M002', 'M006', 'M004']"
WO0134,"['M006', 'M003', 'M001']"
WO0135,"['M001', 'M005']"
WO0136,"['M006', 'M003', 'M001']"
WO0137,['M006']
WO0138,"['M002', 'M005', 'M008']"
WO0139,"['M007', 'M002']"
WO0140,"['M003', 'M008', 'M004']"
WO0141,"['M006', 'M005', 'M008', 'M004']"
WO0142,"['M007', 'M003', 'M001']"
WO0143,"['M001', 'M005']"
WO0144,"['M005', 'M008']"
WO0145,"['M007', 'M001']"
WO0146,"['M002', 'M006']"
WO0147,"['M007', 'M001', 'M008']"
WO0148,"['M002', 'M001', 'M005', 'M008']"
WO0149,"['M003', 'M005']"
WO0150,"['M002', 'M005', 'M008']"
WO0151,"['M002', 'M006']"
WO0152,"['M006', 'M008', 'M004']"
WO0153,['M008']
WO0154,"['M007', 'M003', 'M001']"
WO0155,"['M002', 'M005']"
WO0156,"['M002', 'M003']"
WO0157,"['M007', 'M002', 'M004']"
WO0158,"['M002', 'M008']"
WO0159,"['M002', 'M001', 'M004']"
WO0160,"['M005', 'M004']"
WO0161,"['M003', 'M008', 'M004']"
WO0162,"['M006', 'M008']"
WO0163,"['M002', 'M003', 'M004']"
WO0164,"['M005', 'M004']"
WO0165,"['M006', 'M001']"
WO0166,"['M003', 'M004']"
WO0167,"['M006', 'M005']"
WO0168,"['M002', 'M008']"
WO0169,"['M006', 'M001', 'M008']"
WO0170,"['M007', 'M005']"
WO0171,['M006']
WO0172,"['M005', 'M008', 'M004']"
WO0173,"['M007', 'M002', 'M006']"
WO0174,"['M007', 'M006', 'M008']"
WO0175,['M007']
WO0176,"['M002', 'M003', 'M005']"
WO0177,"['M003', 'M001']"
WO0178,"['M001', 'M005']"
WO0179,"['M002', 'M006']"
WO0180,['M001']
WO0181,"['M003', 'M005']"
WO0182,"['M002', 'M001', 'M005']"
WO0183,"['M007', 'M006']"
WO0184,"['M005', 'M004']"
WO0185,"['M003', 'M008']"
WO0186,"['M005', 'M008', 'M004']"
WO0187,"['M002', 'M003', 'M005']"
WO0188,"['M003', 'M005']"
WO0189,"['M007', 'M002', 'M001']"
WO0190,"['M006', 'M005']"
WO0191,"['M002', 'M003', 'M001']"
WO0192,"['M007', 'M006']"
WO0193,"['M007', 'M006']"
WO0194,"['M007', 'M001']"
WO0195,"['M007', 'M008']"
WO0196,['M006']
WO0197,"['M005', 'M008']"
WO0198,"['M007', 'M008', 'M004']"
WO0199,"['M007', 'M005', 'M004']"
WO0200,"['M007', 'M002', 'M006']"
WO0201,"['M007', 'M002', 'M004']"
WO0202,"['M001', 'M008']"
WO0203,"['M006', 'M003', 'M005']"
WO0204,['M003']
WO0205,"['M003', 'M008']"
WO0206,"['M002', 'M004']"
WO0207,"['M006', 'M008', 'M004']"
WO0208,"['M006', 'M004']"
WO0209,"['M002', 'M006']"
WO0210,"['M002', 'M001', 'M008']"
WO0211,"['M006', 'M005']"
WO0212,"['M003', 'M005', 'M004']"
WO0213,"['M002', 'M006']"
WO0214,"['M006', 'M008']"
WO0215,"['M007', 'M003']"
WO0216,"['M003', 'M008']"
WO0217,"['M007', 'M003', 'M005']"
WO0218,"['M006', 'M003']"
WO0219,"['M003', 'M004']"
WO0220,"['M007', 'M002', 'M005']"
WO0221,"['M006', 'M005', 'M008']"
WO0222,"['M001', 'M004']"
WO0223,"['M001', 'M005']"
WO0224,"['M005', 'M004']"
WO0225,"['M007', 'M005']"
WO0226,"['M006', 'M005', 'M008']"
WO0227,"['M003', 'M001']"
WO0228,"['M002', 'M006', 'M001']"
WO0229,"['M007', 'M005']"
WO0230,"['M007', 'M005', 'M004']"
WO0231,"['M007', 'M008', 'M004']"
WO0232,"['M002', 'M001', 'M004']"
WO0233,"['M002', 'M001']"
WO0234,"['M002', 'M005']"
WO0235,"['M003', 'M001']"
WO0236,['M004']
WO0237,['M006']
WO0238,"['M007', 'M005']"
WO0239,"['M007', 'M003', 'M005']"
WO0240,"['M007', 'M002', 'M001', 'M005']"
WO0241,"['M002', 'M003', 'M004']"
WO0242,"['M001', 'M008']"
WO0243,"['M002', 'M005', 'M004']"
WO0244,"['M006', 'M008']"
WO0245,"['M001', 'M005']"
WO0246,"['M006', 'M003', 'M004']"
WO0247,"['M002', 'M003', 'M005']"
WO0248,"['M002', 'M001']"
WO0249,"['M002', 'M003', 'M001']"
WO0250,"['M006', 'M005']"
WO0251,"['M006', 'M008']"
WO0252,"['M007', 'M002', 'M008']"
WO0253,"['M007', 'M005', 'M004']"
WO0254,"['M005', 'M008']"
WO0255,"['M003', 'M008']"
WO0256,"['M008', 'M004']"
WO0257,"['M006', 'M005']"
WO0258,"['M007', 'M002', 'M003']"
WO0259,"['M001', 'M005', 'M004']"
WO0260,"['M007', 'M004']"
WO0261,['M006']
WO0262,"['M005', 'M008']"
WO0263,"['M006', 'M004']"
WO0264,"['M007', 'M004']"
WO0265,"['M006', 'M005']"
WO0266,"['M003', 'M008']"
WO0267,"['M008', 'M004']"
WO0268,"['M001', 'M008']"
WO0269,"['M006', 'M003']"
WO0270,['M005']
WO0271,"['M007', 'M005']"
WO0272,"['M003', 'M008']"
WO0273,"['M006', 'M003']"
WO0274,"['M006', 'M003']"
WO0275,"['M002', 'M006', 'M001']"
WO0276,"['M006', 'M008']"
WO0277,"['M007', 'M002', 'M008']"
WO0278,"['M007', 'M002', 'M001']"
WO0279,"['M007', 'M004']"
WO0280,"['M006', 'M003', 'M008']"
WO0281,"['M005', 'M008', 'M004']"
WO0282,"['M006', 'M003']"
WO0283,"['M002', 'M005', 'M004']"
WO0284,"['M007', 'M006', 'M005', 'M004']"
WO0285,"['M002', 'M008']"
WO0286,"['M007', 'M005']"
WO0287,"['M002', 'M006', 'M001']"
WO0288,"['M007', 'M002', 'M001', 'M008']"
WO0289,"['M002', 'M008']"
WO0290,"['M006', 'M004']"
WO0291,"['M007', 'M006', 'M008']"
WO0292,"['M005', 'M008']"
WO0293,"['M002', 'M003', 'M004']"
WO0294,"['M002', 'M006', 'M005']"
WO0295,"['M007', 'M008']"
WO0296,"['M007', 'M004']"
WO0297,"['M005', 'M008']"
WO0298,"['M005', 'M008']"
WO0299,"['M002', 'M006']"
WO0300,"['M003', 'M005', 'M008']"
WO0301,"['M001', 'M008', 'M004']"
WO0302,"['M002', 'M006', 'M005']"
WO0303,"['M007', 'M001']"
WO0304,"['M006', 'M008', 'M004']"
WO0305,"['M007', 'M008']"
WO0306,"['M001', 'M004']"
WO0307,"['M002', 'M003', 'M001']"
WO0308,"['M007', 'M006', 'M005']"
WO0309,"['M002', 'M003']"
WO0310,"['M001', 'M005', 'M008', 'M004']"
WO0311,"['M002', 'M001']"
WO0312,"['M005', 'M004']"
WO0313,"['M007', 'M002']"
WO0314,"['M002', 'M008']"
WO0315,"['M007', 'M003']"
WO0316,"['M002', 'M003', 'M004']"
WO0317,"['M007', 'M005']"
WO0318,"['M007', 'M002', 'M001']"
WO0319,"['M002', 'M003', 'M001']"
WO0320,"['M007', 'M006', 'M005']"
WO0321,"['M007', 'M003']"
WO0322,"['M002', 'M001', 'M005']"
WO0323,"['M006', 'M005']"
WO0324,"['M006', 'M005']"
WO0325,"['M007', 'M002', 'M003']"
WO0326,"['M003', 'M006', 'M005']"
WO0327,"['M007', 'M002']"
WO0328,"['M006', 'M003']"
WO0329,"['M002', 'M001', 'M005']"
WO0330,"['M007', 'M004']"
WO0331,['M006']
WO0332,"['M003', 'M004']"
WO0333,"['M002', 'M001']"
WO0334,"['M007', 'M006', 'M008']"
WO0335,"['M003', 'M005']"
WO0336,"['M002', 'M006', 'M001', 'M004']"
WO0337,"['M008', 'M004']"
WO0338,"['M002', 'M001', 'M004']"
WO0339,"['M005', 'M008', 'M004']"
WO0340,"['M006', 'M005']"
WO0341,['M003']
WO0342,"['M007', 'M006', 'M003']"
WO0343,"['M002', 'M006', 'M001']"
WO0344,"['M007', 'M006', 'M003']"
WO0345,"['M007', 'M002', 'M008']"
WO0346,"['M007', 'M008']"
WO0347,"['M007', 'M004']"
WO0348,"['M003', 'M005', 'M004']"
WO0349,"['M007', 'M002', 'M006']"
WO0350,"['M007', 'M001']"
WO0351,"['M008', 'M004']"
WO0352,"['M007', 'M006', 'M005']"
WO0353,"['M007', 'M005', 'M004']"
WO0354,"['M007', 'M002']"
WO0355,"['M002', 'M008', 'M004']"
WO0356,"['M006', 'M003']"
WO0357,"['M003', 'M001', 'M008']"
WO0358,"['M002', 'M004']"
WO0359,"['M002', 'M001']"
WO0360,"['M008', 'M004']"
WO0361,"['M007', 'M003']"
