record_id,work_order_id,record_date,workstation_id,material_id,consume_qty,weekday,month
1,WO0001,2025-01-01,W02,M006,32,2,1
2,WO0001,2025-01-01,W02,M005,50,2,1
3,WO0002,2025-01-01,W02,M005,41,2,1
4,WO0002,2025-01-01,W02,M008,20,2,1
5,WO0002,2025-01-01,W02,M004,29,2,1
6,WO0003,2025-01-01,W02,M003,43,2,1
7,WO0003,2025-01-01,W02,M004,27,2,1
8,WO0004,2025-01-01,W05,M003,37,2,1
9,WO0004,2025-01-01,W05,M004,39,2,1
10,WO0005,2025-01-01,W03,M007,28,2,1
11,WO0005,2025-01-01,W03,M006,25,2,1
12,WO0005,2025-01-01,W03,M003,20,2,1
13,WO0006,2025-01-02,W04,M007,12,3,1
14,WO0006,2025-01-02,W04,M002,14,3,1
15,WO0006,2025-01-02,W04,M001,35,3,1
16,WO0007,2025-01-02,W03,M003,16,3,1
17,WO0007,2025-01-02,W03,M005,37,3,1
18,WO0008,2025-01-02,W05,M006,35,3,1
19,WO0008,2025-01-02,W05,M001,25,3,1
20,WO0008,2025-01-02,W05,M005,24,3,1
21,WO0008,2025-01-02,W05,M004,52,3,1
22,WO0009,2025-01-02,W02,M006,37,3,1
23,WO0009,2025-01-02,W02,M004,23,3,1
24,WO0010,2025-01-03,W04,M006,35,4,1
25,WO0010,2025-01-03,W04,M003,29,4,1
26,WO0011,2025-01-03,W04,M007,27,4,1
27,WO0011,2025-01-03,W04,M003,13,4,1
28,WO0012,2025-01-03,W04,M007,52,4,1
29,WO0012,2025-01-03,W04,M004,31,4,1
30,WO0013,2025-01-03,W02,M002,14,4,1
31,WO0013,2025-01-03,W02,M006,23,4,1
32,WO0014,2025-01-03,W04,M006,22,4,1
33,WO0014,2025-01-03,W04,M004,18,4,1
34,WO0015,2025-01-03,W04,M007,18,4,1
35,WO0015,2025-01-03,W04,M005,42,4,1
36,WO0015,2025-01-03,W04,M004,14,4,1
37,WO0016,2025-01-03,W04,M005,45,4,1
38,WO0016,2025-01-03,W04,M008,20,4,1
39,WO0017,2025-01-04,W03,M007,4,5,1
40,WO0017,2025-01-04,W03,M002,12,5,1
41,WO0017,2025-01-04,W03,M006,4,5,1
42,WO0018,2025-01-05,W04,M006,9,6,1
43,WO0018,2025-01-05,W04,M003,18,6,1
44,WO0019,2025-01-06,W05,M002,42,0,1
45,WO0019,2025-01-06,W05,M006,28,0,1
46,WO0020,2025-01-06,W01,M002,24,0,1
47,WO0021,2025-01-06,W03,M007,14,0,1
48,WO0021,2025-01-06,W03,M005,52,0,1
49,WO0022,2025-01-06,W01,M006,20,0,1
50,WO0022,2025-01-06,W01,M003,21,0,1
51,WO0023,2025-01-06,W02,M002,29,0,1
52,WO0023,2025-01-06,W02,M004,30,0,1
53,WO0024,2025-01-06,W03,M004,26,0,1
54,WO0025,2025-01-06,W05,M007,16,0,1
55,WO0025,2025-01-06,W05,M002,9,0,1
56,WO0025,2025-01-06,W05,M008,39,0,1
57,WO0026,2025-01-07,W01,M002,33,1,1
58,WO0026,2025-01-07,W01,M005,40,1,1
59,WO0026,2025-01-07,W01,M004,41,1,1
60,WO0027,2025-01-07,W05,M001,11,1,1
61,WO0027,2025-01-07,W05,M008,41,1,1
62,WO0028,2025-01-07,W04,M003,53,1,1
63,WO0028,2025-01-07,W04,M001,44,1,1
64,WO0028,2025-01-07,W04,M008,35,1,1
65,WO0029,2025-01-07,W05,M007,51,1,1
66,WO0029,2025-01-07,W05,M005,25,1,1
67,WO0029,2025-01-07,W05,M004,12,1,1
68,WO0030,2025-01-08,W02,M002,15,2,1
69,WO0031,2025-01-08,W02,M007,12,2,1
70,WO0031,2025-01-08,W02,M001,18,2,1
71,WO0031,2025-01-08,W02,M008,34,2,1
72,WO0032,2025-01-08,W04,M005,45,2,1
73,WO0032,2025-01-08,W04,M008,22,2,1
74,WO0033,2025-01-08,W04,M002,54,2,1
75,WO0033,2025-01-08,W04,M008,34,2,1
76,WO0033,2025-01-08,W04,M004,30,2,1
77,WO0034,2025-01-08,W04,M007,13,2,1
78,WO0034,2025-01-08,W04,M002,34,2,1
79,WO0034,2025-01-08,W04,M003,25,2,1
80,WO0035,2025-01-08,W04,M007,25,2,1
81,WO0035,2025-01-08,W04,M006,21,2,1
82,WO0035,2025-01-08,W04,M005,18,2,1
83,WO0036,2025-01-08,W01,M002,31,2,1
84,WO0036,2025-01-08,W01,M001,11,2,1
85,WO0036,2025-01-08,W01,M008,30,2,1
86,WO0037,2025-01-09,W01,M002,29,3,1
87,WO0037,2025-01-09,W01,M001,47,3,1
88,WO0037,2025-01-09,W01,M004,18,3,1
89,WO0038,2025-01-09,W04,M002,52,3,1
90,WO0038,2025-01-09,W04,M006,39,3,1
91,WO0039,2025-01-09,W03,M007,44,3,1
92,WO0040,2025-01-09,W02,M006,18,3,1
93,WO0040,2025-01-09,W02,M008,20,3,1
